month_start,new_patients,encounters,cl_order_count,cl_quantity_sold,lasik_count,cataract_count,iop_count,visual_fields_count,refractions_count,injections_count
2018-01-01,0,0,1,0,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,0,14,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,0,0,0,0,0
2018-07-01,0,78,0,0,0,0,78,56,64,0
2018-08-01,0,119,6,0,0,0,119,85,106,0
2018-09-01,0,132,6,0,0,0,132,98,109,0
2018-10-01,0,156,9,0,0,0,156,107,135,0
2018-11-01,1,137,8,0,0,0,137,102,113,0
2018-12-01,0,129,7,0,0,0,129,93,108,0
2019-01-01,0,148,20,0,0,0,147,111,128,0
2019-02-01,0,161,8,0,0,0,161,113,144,0
2019-03-01,0,114,18,0,0,0,113,87,97,0
2019-04-01,0,117,10,0,0,0,117,102,107,0
2019-05-01,0,115,4,0,0,0,115,86,109,0
2019-06-01,0,140,18,0,0,0,140,110,126,0
2019-07-01,0,130,21,0,0,0,130,100,114,0
2019-08-01,0,126,11,0,0,0,126,82,106,0
2019-09-01,0,129,7,0,0,0,128,88,99,0
2019-10-01,0,141,3,0,0,0,141,113,131,0
2019-11-01,1,151,0,0,0,0,151,115,134,0
2019-12-01,0,125,0,0,0,0,125,95,105,0
2020-01-01,0,149,0,0,0,0,149,107,130,0
2020-02-01,0,124,0,0,0,0,124,94,109,0
2020-03-01,0,104,0,0,0,0,104,80,93,0
2020-04-01,0,122,0,0,0,0,122,81,102,0
2020-05-01,0,128,1,0,0,0,128,86,116,0
2020-06-01,0,135,0,0,0,0,135,111,123,0
2020-07-01,0,128,0,0,0,0,128,85,108,0
2020-08-01,0,115,0,0,0,0,115,78,93,0
2020-09-01,0,48,0,0,0,0,48,29,38,0
2020-10-01,0,0,0,0,0,0,0,0,0,0
2020-11-01,0,44,0,0,0,0,44,31,40,0
2020-12-01,0,90,0,0,0,0,90,59,79,0
2021-01-01,0,100,0,0,0,0,100,70,90,0
2021-02-01,0,106,0,0,0,0,106,62,90,0
2021-03-01,0,132,0,0,0,0,132,87,117,0
2021-04-01,0,150,0,0,0,0,150,85,128,0
2021-05-01,0,104,1,0,0,0,104,66,91,0
2021-06-01,0,120,3,0,0,0,119,83,110,0
2021-07-01,0,111,0,0,0,0,111,73,97,0
2021-08-01,0,103,1,0,0,0,103,61,83,0
2021-09-01,0,109,0,0,0,0,109,75,97,0
2021-10-01,0,120,0,0,0,0,120,84,107,0
2021-11-01,0,103,0,0,0,0,103,71,88,0
2021-12-01,0,111,0,0,0,0,110,78,89,0
2022-01-01,0,102,0,0,0,0,102,70,86,0
2022-02-01,0,89,0,0,0,0,89,60,76,0
2022-03-01,0,111,0,0,0,0,111,86,94,0
2022-04-01,0,104,0,0,0,0,104,66,84,0
2022-05-01,0,113,0,0,0,0,113,79,96,0
2022-06-01,0,113,1,0,0,0,113,83,94,0
2022-07-01,0,71,0,0,0,0,71,55,63,0
2022-08-01,0,99,0,0,0,0,99,82,88,0
2022-09-01,0,121,0,0,0,0,121,92,107,0
2022-10-01,0,90,0,0,0,0,90,67,72,0
2022-11-01,0,70,0,0,0,0,70,52,58,0
2022-12-01,0,87,0,0,0,0,87,68,76,0
2023-01-01,0,102,1,0,0,0,102,88,94,0
2023-02-01,0,118,1,0,0,0,118,100,111,0
2023-03-01,0,97,0,0,0,0,97,78,89,0
2023-04-01,0,106,0,0,0,0,106,72,87,0
2023-05-01,0,89,0,0,0,0,89,63,84,0
2023-06-01,0,114,1,0,0,0,114,81,98,0
2023-07-01,0,113,0,0,0,0,113,84,101,0
2023-08-01,4749,104,3,2,0,0,104,78,83,0
2023-09-01,53,103,14,23,0,0,103,76,89,0
2023-10-01,64,72,37,30,0,0,72,56,60,0
2023-11-01,51,97,25,56,0,0,97,68,81,0
2023-12-01,58,111,24,50,0,0,111,82,94,0
2024-01-01,65,107,22,43,0,0,107,78,92,0
2024-02-01,56,109,36,73,0,0,97,82,92,0
2024-03-01,67,90,36,79,0,0,77,73,81,0
2024-04-01,85,130,31,72,0,0,114,93,111,0
2024-05-01,37,98,28,71,0,0,82,74,82,0
2024-06-01,62,118,20,47,0,0,104,88,98,0
2024-07-01,62,121,14,27,0,0,107,83,104,0
2024-08-01,50,119,26,58,0,0,94,91,93,0
2024-09-01,65,108,15,27,0,0,88,85,83,0
2024-10-01,44,130,15,30,0,0,115,104,121,0
2024-11-01,50,109,46,103,0,0,100,97,99,0
2024-12-01,34,118,12,26,0,0,105,101,101,0
