month_start,new_patients
2018-11-01,1
2019-11-01,1
2023-08-01,4749
2023-09-01,53
2023-10-01,64
2023-11-01,51
2023-12-01,58
2024-01-01,65
2024-02-01,56
2024-03-01,67
2024-04-01,85
2024-05-01,37
2024-06-01,62
2024-07-01,62
2024-08-01,50
2024-09-01,65
2024-10-01,44
2024-11-01,50
2024-12-01,34
2025-01-01,68
2025-02-01,61
2025-03-01,66
2025-04-01,45
2025-05-01,58
2025-06-01,62
2025-07-01,56
2025-08-01,70
2025-09-01,82
2025-10-01,62
2025-11-01,59
2025-12-01,64
2026-01-01,49
2026-02-01,45
2026-03-01,68
2026-04-01,44
2026-05-01,33
2026-06-01,1
