month_start,encounters
2018-07-01,78
2018-08-01,119
2018-09-01,132
2018-10-01,156
2018-11-01,137
2018-12-01,129
2019-01-01,148
2019-02-01,161
2019-03-01,114
2019-04-01,117
2019-05-01,115
2019-06-01,140
2019-07-01,130
2019-08-01,126
2019-09-01,129
2019-10-01,141
2019-11-01,151
2019-12-01,125
2020-01-01,149
2020-02-01,124
2020-03-01,104
2020-04-01,122
2020-05-01,128
2020-06-01,135
2020-07-01,128
2020-08-01,115
2020-09-01,48
2020-11-01,44
2020-12-01,90
2021-01-01,100
2021-02-01,106
2021-03-01,132
2021-04-01,150
2021-05-01,104
2021-06-01,120
2021-07-01,111
2021-08-01,103
2021-09-01,109
2021-10-01,120
2021-11-01,103
2021-12-01,111
2022-01-01,102
2022-02-01,89
2022-03-01,111
2022-04-01,104
2022-05-01,113
2022-06-01,113
2022-07-01,71
2022-08-01,99
2022-09-01,121
2022-10-01,90
2022-11-01,70
2022-12-01,87
2023-01-01,102
2023-02-01,118
2023-03-01,97
2023-04-01,106
2023-05-01,89
2023-06-01,114
2023-07-01,113
2023-08-01,104
2023-09-01,103
2023-10-01,72
2023-11-01,97
2023-12-01,111
2024-01-01,107
2024-02-01,109
2024-03-01,90
2024-04-01,130
2024-05-01,98
2024-06-01,118
2024-07-01,121
2024-08-01,119
2024-09-01,108
2024-10-01,130
2024-11-01,109
2024-12-01,118
2025-01-01,130
2025-02-01,131
2025-03-01,100
2025-04-01,107
2025-05-01,117
2025-06-01,107
2025-07-01,121
2025-08-01,108
2025-09-01,122
2025-10-01,124
2025-11-01,117
2025-12-01,141
2026-01-01,135
2026-02-01,128
2026-03-01,142
2026-04-01,126
2026-05-01,128
2026-06-01,141
2026-07-01,104
2026-08-01,118
2026-09-01,132
2026-10-01,110
2026-11-01,23
