month_start,cl_order_count,cl_quantity_sold
2018-01-01,1,0
2018-03-01,14,0
2018-08-01,6,0
2018-09-01,6,0
2018-10-01,9,0
2018-11-01,8,0
2018-12-01,7,0
2019-01-01,20,0
2019-02-01,8,0
2019-03-01,18,0
2019-04-01,10,0
2019-05-01,4,0
2019-06-01,18,0
2019-07-01,21,0
2019-08-01,11,0
2019-09-01,7,0
2019-10-01,3,0
2020-05-01,1,0
2021-05-01,1,0
2021-06-01,3,0
2021-08-01,1,0
2022-06-01,1,0
2023-01-01,1,0
2023-02-01,1,0
2023-06-01,1,0
2023-08-01,3,2
2023-09-01,14,23
2023-10-01,37,30
2023-11-01,25,56
2023-12-01,24,50
2024-01-01,22,43
2024-02-01,36,73
2024-03-01,36,79
2024-04-01,31,72
2024-05-01,28,71
2024-06-01,20,47
2024-07-01,14,27
2024-08-01,26,58
2024-09-01,15,27
2024-10-01,15,30
2024-11-01,46,103
2024-12-01,12,26
2025-01-01,18,42
2025-02-01,22,48
2025-03-01,25,58
2025-04-01,32,69
2025-05-01,24,50
2025-06-01,36,74
2025-07-01,60,124
2025-08-01,15,30
2025-09-01,21,41
2025-10-01,33,72
2025-11-01,13,25
2025-12-01,20,40
2026-01-01,28,56
2026-02-01,32,67
2026-03-01,37,75
2026-04-01,50,109
2026-05-01,3,6
