month_start,lasik_count,cataract_count,iop_count,visual_fields_count,refractions_count,injections_count
2018-07-01,0,0,78,56,64,0
2018-08-01,0,0,119,85,106,0
2018-09-01,0,0,132,98,109,0
2018-10-01,0,0,156,107,135,0
2018-11-01,0,0,137,102,113,0
2018-12-01,0,0,129,93,108,0
2019-01-01,0,0,147,111,128,0
2019-02-01,0,0,161,113,144,0
2019-03-01,0,0,113,87,97,0
2019-04-01,0,0,117,102,107,0
2019-05-01,0,0,115,86,109,0
2019-06-01,0,0,140,110,126,0
2019-07-01,0,0,130,100,114,0
2019-08-01,0,0,126,82,106,0
2019-09-01,0,0,128,88,99,0
2019-10-01,0,0,141,113,131,0
2019-11-01,0,0,151,115,134,0
2019-12-01,0,0,125,95,105,0
2020-01-01,0,0,149,107,130,0
2020-02-01,0,0,124,94,109,0
2020-03-01,0,0,104,80,93,0
2020-04-01,0,0,122,81,102,0
2020-05-01,0,0,128,86,116,0
2020-06-01,0,0,135,111,123,0
2020-07-01,0,0,128,85,108,0
2020-08-01,0,0,115,78,93,0
2020-09-01,0,0,48,29,38,0
2020-11-01,0,0,44,31,40,0
2020-12-01,0,0,90,59,79,0
2021-01-01,0,0,100,70,90,0
2021-02-01,0,0,106,62,90,0
2021-03-01,0,0,132,87,117,0
2021-04-01,0,0,150,85,128,0
2021-05-01,0,0,104,66,91,0
2021-06-01,0,0,119,83,110,0
2021-07-01,0,0,111,73,97,0
2021-08-01,0,0,103,61,83,0
2021-09-01,0,0,109,75,97,0
2021-10-01,0,0,120,84,107,0
2021-11-01,0,0,103,71,88,0
2021-12-01,0,0,110,78,89,0
2022-01-01,0,0,102,70,86,0
2022-02-01,0,0,89,60,76,0
2022-03-01,0,0,111,86,94,0
2022-04-01,0,0,104,66,84,0
2022-05-01,0,0,113,79,96,0
2022-06-01,0,0,113,83,94,0
2022-07-01,0,0,71,55,63,0
2022-08-01,0,0,99,82,88,0
2022-09-01,0,0,121,92,107,0
2022-10-01,0,0,90,67,72,0
2022-11-01,0,0,70,52,58,0
2022-12-01,0,0,87,68,76,0
2023-01-01,0,0,102,88,94,0
2023-02-01,0,0,118,100,111,0
2023-03-01,0,0,97,78,89,0
2023-04-01,0,0,106,72,87,0
2023-05-01,0,0,89,63,84,0
2023-06-01,0,0,114,81,98,0
2023-07-01,0,0,113,84,101,0
2023-08-01,0,0,104,78,83,0
2023-09-01,0,0,103,76,89,0
2023-10-01,0,0,72,56,60,0
2023-11-01,0,0,97,68,81,0
2023-12-01,0,0,111,82,94,0
2024-01-01,0,0,107,78,92,0
2024-02-01,0,0,97,82,92,0
2024-03-01,0,0,77,73,81,0
2024-04-01,0,0,114,93,111,0
2024-05-01,0,0,82,74,82,0
2024-06-01,0,0,104,88,98,0
2024-07-01,0,0,107,83,104,0
2024-08-01,0,0,94,91,93,0
2024-09-01,0,0,88,85,83,0
2024-10-01,0,0,115,104,121,0
2024-11-01,0,0,100,97,99,0
2024-12-01,0,0,105,101,101,0
2025-01-01,0,0,114,111,119,0
2025-02-01,0,0,109,96,112,0
2025-03-01,0,0,88,84,90,0
2025-04-01,0,0,95,89,95,0
2025-05-01,0,0,103,100,106,0
2025-06-01,0,0,101,86,98,0
2025-07-01,0,0,111,103,106,0
2025-08-01,0,0,97,95,100,0
2025-09-01,0,0,107,93,104,0
2025-10-01,0,0,107,97,104,0
2025-11-01,0,0,102,95,97,0
2025-12-01,0,0,123,113,112,0
2026-01-01,0,0,109,106,112,0
2026-02-01,0,0,111,103,113,0
2026-03-01,0,0,118,107,117,0
2026-04-01,0,0,108,99,108,0
2026-05-01,0,0,104,95,104,0
2026-06-01,0,0,124,112,124,0
2026-07-01,0,0,89,85,104,0
2026-08-01,0,0,105,98,120,0
2026-09-01,0,0,114,107,132,0
2026-10-01,0,0,98,92,110,0
2026-11-01,0,0,22,20,23,0
